molecule,method,nb_params,circuit,nb_samples,signed_energy_error,abs_energy_error,sample_std
LiH_6_spinorbs,QMC-UCC,4,LiH_4,1,-0.018933282043702704,0.018933282043702704,0.0
LiH_6_spinorbs,QMC-UCC,5,LiH_5,1,0.056863350228434584,0.056863350228434584,0.0
LiH_6_spinorbs,QMC-UCC,6,LiH_6,1,0.04902311561419559,0.04902311561419559,0.0
LiH_6_spinorbs,QMC-UCC,8,LiH_8,1,0.046007021748815546,0.046007021748815546,0.0
N2,ADAPT-VQE (UCC pool),1,adapt_01_params,1,0.11576077328152223,0.11576077328152223,0.0
N2,ADAPT-VQE (UCC pool),2,adapt_02_params,1,0.09353406599430514,0.09353406599430514,0.0
N2,ADAPT-VQE (UCC pool),3,adapt_03_params,1,0.12065569437285717,0.12065569437285717,0.0
N2,ADAPT-VQE (UCC pool),4,adapt_04_params,1,0.08610540188385585,0.08610540188385585,0.0
N2,ADAPT-VQE (UCC pool),5,adapt_05_params,1,0.071160103686708,0.071160103686708,0.0
N2,ADAPT-VQE (UCC pool),6,adapt_06_params,1,0.06701777763763062,0.06701777763763062,0.0
N2,ADAPT-VQE (UCC pool),7,adapt_07_params,1,0.09445281013665863,0.09445281013665863,0.0
N2,ADAPT-VQE (UCC pool),8,adapt_08_params,1,0.014021583295033224,0.014021583295033224,0.0
N2,ADAPT-VQE (UCC pool),9,adapt_09_params,1,0.013368371479373309,0.013368371479373309,0.0
N2,ADAPT-VQE (UCC pool),10,adapt_10_params,1,0.05222403311759649,0.05222403311759649,0.0
N2,ADAPT-VQE (UCC pool),11,adapt_11_params,1,0.030208810643387096,0.030208810643387096,0.0
N2,ADAPT-VQE (UCC pool),12,adapt_12_params,1,0.014780855968723472,0.014780855968723472,0.0
N2,ADAPT-VQE (UCC pool),13,adapt_13_params,1,0.011636617022503515,0.011636617022503515,0.0
N2,ADAPT-VQE (UCC pool),14,adapt_14_params,1,0.04410160130942131,0.04410160130942131,0.0
N2,ADAPT-VQE (UCC pool),15,adapt_15_params,1,0.0667635815322285,0.0667635815322285,0.0
N2,ADAPT-VQE (UCC pool),16,adapt_16_params,1,-0.005630010664532392,0.005630010664532392,0.0
N2,ADAPT-VQE (UCC pool),17,adapt_17_params,1,0.035324884527227596,0.035324884527227596,0.0
N2,ADAPT-VQE (UCC pool),18,adapt_18_params,1,0.08690270876738282,0.08690270876738282,0.0
N2,ADAPT-VQE (UCC pool),19,adapt_19_params,1,-0.008627066615048307,0.008627066615048307,0.0
N2,ADAPT-VQE (UCC pool),20,adapt_20_params,1,-0.0031041582096520415,0.0031041582096520415,0.0
N2,ADAPT-VQE (UCC pool),21,adapt_21_params,1,0.034758643659301924,0.034758643659301924,0.0
N2,ADAPT-VQE (UCC pool),22,adapt_22_params,1,0.03937210922055101,0.03937210922055101,0.0
N2,ADAPT-VQE (UCC pool),23,adapt_23_params,1,0.04501659534383862,0.04501659534383862,0.0
N2,ADAPT-VQE (UCC pool),24,adapt_24_params,1,0.0453335182542105,0.0453335182542105,0.0
N2,ADAPT-VQE (UCC pool),25,adapt_25_params,1,0.006534625890026291,0.006534625890026291,0.0
N2,ADAPT-VQE (UCC pool),26,adapt_26_params,1,0.019041850551502648,0.019041850551502648,0.0
N2,ADAPT-VQE (UCC pool),27,adapt_27_params,1,0.00778252193194362,0.00778252193194362,0.0
N2,ADAPT-VQE (UCC pool),28,adapt_28_params,1,-0.011879343545018628,0.011879343545018628,0.0
N2,ADAPT-VQE (UCC pool),29,adapt_29_params,1,0.028011386831792606,0.028011386831792606,0.0
N2,ADAPT-VQE (UCC pool),30,adapt_30_params,1,5.063825508955233e-05,5.063825508955233e-05,0.0
N2,ADAPT-VQE (UCC pool),31,adapt_31_params,1,-0.06706564134745463,0.06706564134745463,0.0
N2,ADAPT-VQE (UCC pool),32,adapt_32_params,1,0.020536241834207658,0.020536241834207658,0.0
N2,ADAPT-VQE (UCC pool),33,adapt_33_params,1,-0.0220527167194291,0.0220527167194291,0.0
N2,ADAPT-VQE (UCC pool),34,adapt_34_params,1,0.015589192296886267,0.015589192296886267,0.0
N2,ADAPT-VQE (UCC pool),35,adapt_35_params,1,-0.03828260516576165,0.03828260516576165,0.0
N2,ADAPT-VQE (generalized pool),1,adapt_01_params,1,0.12649834705104013,0.12649834705104013,0.0
N2,ADAPT-VQE (generalized pool),2,adapt_02_params,1,0.08622471500726192,0.08622471500726192,0.0
N2,ADAPT-VQE (generalized pool),3,adapt_03_params,1,0.10183990063089254,0.10183990063089254,0.0
N2,ADAPT-VQE (generalized pool),4,adapt_04_params,1,0.008118427658956762,0.008118427658956762,0.0
N2,ADAPT-VQE (generalized pool),5,adapt_05_params,1,0.08614561218925587,0.08614561218925587,0.0
N2,ADAPT-VQE (generalized pool),6,adapt_06_params,1,0.03190876372249818,0.03190876372249818,0.0
N2,ADAPT-VQE (generalized pool),7,adapt_07_params,1,0.014490252082168809,0.014490252082168809,0.0
N2,ADAPT-VQE (generalized pool),8,adapt_08_params,1,0.06818361393774808,0.06818361393774808,0.0
N2,ADAPT-VQE (generalized pool),9,adapt_09_params,1,0.03347274521317445,0.03347274521317445,0.0
N2,ADAPT-VQE (generalized pool),10,adapt_10_params,1,0.03002607769150245,0.03002607769150245,0.0
N2,ADAPT-VQE (generalized pool),11,adapt_11_params,1,0.05767372792931269,0.05767372792931269,0.0
N2,ADAPT-VQE (generalized pool),12,adapt_12_params,1,0.028488438626510515,0.028488438626510515,0.0
N2,ADAPT-VQE (generalized pool),13,adapt_13_params,1,0.03979690122531565,0.03979690122531565,0.0
N2,ADAPT-VQE (generalized pool),14,adapt_14_params,1,0.013522847625466738,0.013522847625466738,0.0
N2,ADAPT-VQE (generalized pool),15,adapt_15_params,1,0.003980641230441506,0.003980641230441506,0.0
N2,ADAPT-VQE (generalized pool),16,adapt_16_params,1,-0.012369945177084674,0.012369945177084674,0.0
N2,ADAPT-VQE (generalized pool),17,adapt_17_params,1,0.028129403962310562,0.028129403962310562,0.0
N2,ADAPT-VQE (generalized pool),18,adapt_18_params,1,-0.054193117330271434,0.054193117330271434,0.0
N2,ADAPT-VQE (generalized pool),19,adapt_19_params,1,-0.009554319760923136,0.009554319760923136,0.0
N2,ADAPT-VQE (generalized pool),20,adapt_20_params,1,0.00815026620037429,0.00815026620037429,0.0
N2,ADAPT-VQE (generalized pool),21,adapt_21_params,1,-0.05685319114269305,0.05685319114269305,0.0
N2,ADAPT-VQE (generalized pool),22,adapt_22_params,1,0.04062935858644323,0.04062935858644323,0.0
N2,ADAPT-VQE (generalized pool),23,adapt_23_params,1,0.00938805995497205,0.00938805995497205,0.0
N2,ADAPT-VQE (generalized pool),24,adapt_24_params,1,-0.021965094040382382,0.021965094040382382,0.0
